Name,Source,Entry,Size,Type,Subtypes,Classify 1,Classify 2,Classify 3,Classify 4
Strangle Weed,Tome of Horrors Revised,,Large,Plant,Aquatic,Strangleweed,,,
Thorny,Tome of Horrors Revised,,Medium,Plant,,Thorny,,,
Tri-Flower Frond,Tome of Horrors Revised,,Medium,Plant,,Tri-Flower Frond,,,
Vampire Rose,Tome of Horrors Revised,,Small,Plant,,Vampire Rose,,,
"Vegepygmy, Bodyguard",Tome of Horrors Revised,,Small,Plant,,Vegepygmy,Bodyguard,,
"Vegepygmy, Chief",Tome of Horrors Revised,,Medium,Plant,,Vegepygmy,Chief,,
"Vegepygmy, Commoner",Tome of Horrors Revised,,Small,Plant,,Vegepygmy,Commoner,,
"Vegepygmy, Guard",Tome of Horrors Revised,,Small,Plant,,Vegepygmy,Guard,,
"Vegepygmy, Subchief",Tome of Horrors Revised,,Medium,Plant,,Vegepygmy,Subchief,,
"Vegepygmy, Worker",Tome of Horrors Revised,,Small,Plant,,Vegepygmy,Worker,,
Witherweed,Tome of Horrors Revised,,Large,Plant,,Witherweed,,,
Yellow Musk Zombie,Tome of Horrors Revised,,Medium,Plant,,Zombie,Yellow Musk,,
Wayreth Tree,Towers of High Sorcery,,Huge,Plant,,Treant,Wayreth Tree,,
Cestian Gobbler,Vaults of Pandius,,Large,Plant,,Cestian Gobbler,,,
Darksnap,Vaults of Pandius,,Medium,Plant,,Darksnap,,,
Eyeweed,Vaults of Pandius,,Large,Plant,Aquatic,Eyeweed,,,
Fungoid,Vaults of Pandius,,Large,Plant,,Fungoid,,,
Gakarak,Vaults of Pandius,,Huge,Plant,,Gakarak,,,
Gargantua Treant,Vaults of Pandius,,Colossal,Plant,,Gargantua,Treant,,
Gargoñan Rosebush,Vaults of Pandius,,Small,Plant,,Gargoñan Rose,,,
Guardian Tree,Vaults of Pandius,,Colossal,Plant,,Guardian Tree,,,
Jupiter Blood Sucker,Vaults of Pandius,,Large,Plant,,Jupiter Bloodsucker,,,
Killer Tree,Vaults of Pandius,,Large,Plant,,Killer Tree,,,
Malusite,Vaults of Pandius,,Large,Plant,Extraplanar,Malusite,,,
Manikin (Mandragora),Vaults of Pandius,,Diminutive,Plant,,Manikin,,,
Scarlet Pimpernel/Crimson Delight,Vaults of Pandius,,Small,Plant,,Scarlet Pimpernel,,,
"Serpentweed, Giant",Vaults of Pandius,,Large,Plant,,Serpentweed,Giant,,
Sirenflower,Vaults of Pandius,,Large,Plant,,Sirenflower,,,
Strangleweed,Vaults of Pandius,,Large,Plant,,Strangleweed,,,
Whipweed,Vaults of Pandius,,Large,Plant,,Whipweed,,,
Thunderspiker,Wizards of the Coast (Far Corners of the World: The Hidden Realm Above -- Monsters of the Sky),,Large,Plant,,Thunderspiker,,,
Crystal Sunflower,Wizards of the Coast (Psionic Bestiary: Crystal Sunflower),,Medium,Plant,Psionic,Crystal Sunflower,,,
Ironglass Rose,Wizards of the Coast (Psionic Bestiary: Ironglass Rose),,Huge,Plant,Psionic,Ironglass Rose,,,
Sheengrass Swarm,Wizards of the Coast (Psionic Bestiary: Sheengrass Swarm),,Diminutive,Plant,"Psionic, Swarm",Sheengrass,Swarm,,
Spine Springer,Wizards of the Coast (Psionic Bestiary: Spine Springer),,Medium,Plant,Psionic,Spine Springer,,,
Warp Drifter,Wizards of the Coast (Psionic Bestiary: Warp Drifter),,Medium,Plant,Psionic,Warp Drifter,,,
Uloriax,Wizards of the Coast (The Far Corners of the World: Monster of the Mountains),,Gargantuan,Plant,,Uloriax,,,
Lavabriar,Wizards of the Coast (The Far Corners of the World: Monsters of the Volcano),,Medium,Plant,Fire,Lavabriar,,,
Mosslord,Wizards of the Coast (The Far Corners of the World: Monsters of the Woodlands),,Large,Plant,,Mosslord,,,
Gray Fungus,Wizards of the Coast (The Gray Fungus),,Medium,Plant,,Fungus,Gray,,
Dread Doppelganger,Shadow of the Knife,,Medium,Shapechanger,,Doppelganger,Dread,,
Master Thrall,Bestiary of Krynn,,,Template,,Dark Thrall of Onysablet,Master Thrall,,
"Ghost, Haunt","Bestiary of the Realms, Volume 2",,,Template,,Haunt,,,
"Ghost, Pasocada","Bestiary of the Realms, Volume 2",,,Template,,Ghost,Pasocada,,
"Ghost, Phant","Bestiary of the Realms, Volume 2",,,Template,,Phant,,,
"Ghost, Shadow Lich","Bestiary of the Realms, Volume 2",,,Template,,Arch-Shadow,,,
"Ghost, Sorrow","Bestiary of the Realms, Volume 2",,,Template,,Sorrow,,,
"Lycanthrope, Werebat",Blood and Shadows: The Dark Elves of Tellene,,,Template,,Lycanthrope,Werebat,,
Greater Ch'ing Shih,Creature Catalogue,,,Template,,Vampire,Ch'ing Shih,Greater,
Half-Dragon,Draconomicon: The Book of Dragons,,,Template,,Half-Dragon,,,
Half-Shadow Dragon,Dragon #322,,,Template,,Half-Dragon,Shadow,,
Alu-demon,Dragon #355,,,Template,,Demon,Tanar'ri,Alu-demon,
Curotai,Dragonlance Nexus Bestiary,,,Template,,Curotai,,,
Ice Vampire,Dragonlance Nexus Bestiary,,,Template,,Vampire,Ice,,
Lemorians,Dungeon #146,,,Template,,Half-Fiend,Lemorian,,
Necromantic Infection,Expedition to Castle Ravenloft,,,Template,,Infected,,,
Lycanthrope,Monster Manual (Special Edition),,,Template,Shapechanger,Lycanthrope,,,
Gruumsh-Blooded,Monster Manual V,,,Template,,God-Blooded,Gruumsh-Blooded,,
Imix-Blooded,Monster Manual V,,,Template,,God-Blooded,Imix-Blooded,,
Kord-Blooded,Monster Manual V,,,Template,,God-Blooded,Kord-Blooded,,
Orcus-Blooded,Monster Manual V,,,Template,,God-Blooded,Orcus-Blooded,,
Vecna-Blooded,Monster Manual V,,,Template,,God-Blooded,Vecna-Blooded,,
Yeenoghu-Blooded,Monster Manual V,,,Template,,God-Blooded,Yeenoghu-Blooded,,
Dragon Spirit,Vaults of Pandius,,,Template,"Extraplanar, Incorporeal",Dragon Spirit,,,
Crypt Cat,Anauroch: The Empire of the Shade,,Large,Undead,,Cat,Crypt,,
Orb Wraith,Anauroch: The Empire of the Shade,,Huge,Undead,Incorporeal,Wraith,Orb,,
Drone Swarm,Athasian Emporium,,Tiny,Undead,Swarm,Beetle,Watroach War,Drone Swarm,
Rezhatta War Beetle,Athasian Emporium,,Gargantuan,Undead,,Beetle,Rezhatta War,,
Watroach War Beetle,Athasian Emporium,,Gargantuan,Undead,,Beetle,Watroach War,,
Skeletal Archer,Barrow of the Forgotten King (DD1),,Medium,Undead,,Skeleton,Skeletal Archer,,
Varag Zombie,Barrow of the Forgotten King (DD1),,Medium,Undead,Goblinoid,Zombie,Varag,,
Warrior Skeleton,Barrow of the Forgotten King (DD1),,Medium,Undead,,Skeleton,Warrior,,
Ankholian Owlbear Zombie,Bestiary of Krynn,,Large,Undead,,Zombie,Owlbear,Ankholian,
Daemon Warrior,Bestiary of Krynn,,Medium,Undead,"Chaotic, Evil, Extraplanar",Daemon Warrior,,,
Frost Wight,Bestiary of Krynn,,Medium,Undead,"Chaotic, Cold, Extraplanar, Incorporeal",Shadow Wight,Frost Wight,,
Kagonesti Elf Wichtlin,Bestiary of Krynn,,Medium,Undead,Augmented Humanoid,Wichtlin,Kagonesti Elf,,
Knight Haunt,Bestiary of Krynn,,Medium,Undead,,Knight Haunt,,,
"Undead Beast, Gholor",Bestiary of Krynn,,Large,Undead,,Undead Beast,Gholor,,
"Undead Beast, Stahnk",Bestiary of Krynn,,Huge,Undead,,Undead Beast,Stahnk,,
Remnant,"Bestiary of Krynn, Revised",,Medium,Undead,Incorporeal,Remnant,,,
Wichtlin Elk Animal Companion,"Bestiary of Krynn, Revised",,Large,Undead,Augmented Animal,Wichtlin,Elk Animal Companion,,
Atrocity Bone Swarm,"Bestiary of the Realms, Volume 2",,Diminutive,Undead,Swarm,Atrocity Bone,Swarm,,
Carrion Dead Hyena,"Bestiary of the Realms, Volume 2",,Medium,Undead,Augmented Animal,Carrion Dead,Hyena,,
Carrion Dead Monstrous Centipede,"Bestiary of the Realms, Volume 2",,Tiny,Undead,Augmented Vermin,Carrion Dead,Monstrous Centipede,,
Dark Plant Treant,"Bestiary of the Realms, Volume 2",,Huge,Undead,Augmented Plant,Dark Plant,Treant,,
Death Fey Grig,"Bestiary of the Realms, Volume 2",,Tiny,Undead,Augmented Fey,Death Fey,Grig,,
"Gothyl, Ascendant Shadow Lich","Bestiary of the Realms, Volume 2",,Medium,Undead,"Augmented Humanoid, Incorporeal",Arch-Shadow,Human,,
Hill Giant Barrowe,"Bestiary of the Realms, Volume 2",,Large,Undead,Augmented Giant,Barrowe,Hill Giant,,
"Hopro of the Azuposi, Pasocada Ghost","Bestiary of the Realms, Volume 2",,Medium,Undead,"Augmented Humanoid, Incorporeal",Ghost,Pasocada,Human,
Lichling Swarm,"Bestiary of the Realms, Volume 2",,Fine,Undead,Swarm,Lichling,Swarm,,
"Skeletal Colossus, Myrrth Anteos","Bestiary of the Realms, Volume 2",,Gargantuan,Undead,,Skeleton,Skeletal Colossus,Myrrth Anteos,
Stone Giant Cairn,"Bestiary of the Realms, Volume 2",,Large,Undead,Augmented Giant,Cairn,Stone Giant,,
"Wraith, Sea",City of Splendors: Waterdeep,,Medium,Undead,Incorporeal,Wraith,Sea,,
Drider Vampire,City of the Spider Queen,,Large,Undead,,Vampire,Drider,,
Wraith Spider,City of the Spider Queen,,Colossal,Undead,,Spider,Wraith,Colossal,
Human Sepulchral Thief,Cityscape: An Essential Guide to Urban Adventuring,,Medium,Undead,Augmented Humanoid,Sepulchral Thief,Human,,
Spellstitched Ghast,Complete Arcane,,Medium,Undead,,Ghoul,Ghast,Spellstitched,
Human Spectral Savant,Complete Psionic,,Medium,Undead,"Incorporeal, Augmented Humanoid",Spectral Savant,Human,,
Shadowscale Marauder,Cormyr: The Tearing of the Weave (FR1),,Medium,Undead,"Augmented Humanoid, Reptilian",Shadowslain,Lizardfolk,Shadowscale Marauder,
Shadowslain Blackscale,Cormyr: The Tearing of the Weave (FR1),,Large,Undead,"Augmented Monstrous Humanoid, Reptilian",Shadowslain,Lizardfolk,Blackscale,
Shadowslain Lizardfolk,Cormyr: The Tearing of the Weave (FR1),,Medium,Undead,"Augmented Humanoid, Reptilian",Shadowslain,Lizardfolk,,
Shadowslain Poison Dusk Lizardfolk,Cormyr: The Tearing of the Weave (FR1),,Small,Undead,"Augmented Humanoid, Reptilian",Shadowslain,Lizardfolk,Poison Dusk,
Zombie Dragon Turtle,Cormyr: The Tearing of the Weave (FR1),,Huge,Undead,Augmented Dragon,Zombie,Dragon Turtle,,
Angreden,Creature Catalogue,,Medium,Undead,,Angreden,,,
Baka,Creature Catalogue,,Medium,Undead,,Ghoul,Baka,,
Beholder Zombie,Creature Catalogue,,Large,Undead,,Zombie,Beholder,,
Blazing Bones,Creature Catalogue,,Medium,Undead,,Blazing Bones,,,
Blood Warrior,Creature Catalogue,,Medium,Undead,,Blood Warrior,,,
Bloody Bones,Creature Catalogue,,Medium,Undead,,Skeleton,Bloody Bones,,
Burnbones Human Cleric,Creature Catalogue,,Medium,Undead,Augmented Humanoid,Burnbones,Human Cleric,,
Ch'ing Shih Human Barbarian,Creature Catalogue,,Medium,Undead,Augmented Humanoid,Vampire,Ch'ing Shih,Human,
Child of Maalpherus,Creature Catalogue,,Medium,Undead,,Zombie,Child of Maalpherus,,
Cryptknight,Creature Catalogue,,Medium,Undead,,Cryptknight,,,
Dark Lord Orc Fighter,Creature Catalogue,,Medium,Undead,Augmented Humanoid,Dark Lord,Orc Fighter,,
Dowagu,Creature Catalogue,,Large,Undead,,Dowagu,,,
Emerald Eyes,Creature Catalogue,,Medium,Undead,Augmented Humanoid,Skeleton,Gem Eyes,Emerald Eyes,
"Ghoul, Elevated",Creature Catalogue,,Medium,Undead,,Ghoul,Elevated,,
Ghul Mage,Creature Catalogue,,Medium,Undead,Shapechanger,Ghul,Great,Mage,
"Ghul-Kin, Soultaker",Creature Catalogue,,Large,Undead,Shapechanger,Ghul,Soultaker,,
"Ghul-Kin, Whitherer",Creature Catalogue,,Large,Undead,Shapechanger,Ghul,Whitherer,,
"Ghul, Great",Creature Catalogue,,Medium,Undead,Shapechanger,Ghul,Great,,
Ghul,Creature Catalogue,,Medium,Undead,Shapechanger,Ghul,Lesser,,
Goblin Vampire Bugbear Rogue,Creature Catalogue,,Large,Undead,Augmented Humanoid (Goblinoid),Vampire,Goblin,Bugbear Rogue,
Grave Mist,Creature Catalogue,,Medium,Undead,Incorporeal,Grave Mist,,,
Gray Philosopher,Creature Catalogue,,Medium,Undead,Incorporeal,Gray Philosopher,,,
"Greater Wyrd, Wood Elf Ranger",Creature Catalogue,,Medium,Undead,Augmented Humanoid (Elf),Wyrd,Greater,,
Headless Horseman,Creature Catalogue,,Medium,Undead,Augmented Humanoid,Headless Horseman,Rider,,
"Headless Horseman, Horseman's Mount",Creature Catalogue,,Large,Undead,,Headless Horseman,Mount,,
Human Warrior Dry Bones,Creature Catalogue,,Medium,Undead,,Skeleton,Dry Bones,Human,
Human Zombie Canopic Shape,Creature Catalogue,,Medium,Undead,Incorporeal,Zombie,Human,Canopic Shape,
Ice Mummy,Creature Catalogue,,Medium,Undead,Cold,Mummy,Ice,,
Inquisitor,Creature Catalogue,,Medium,Undead,,Inquisitor,,,
Ka,Creature Catalogue,,Medium,Undead,,Ka,,,
Ker,Creature Catalogue,,Medium,Undead,Extraplanar,Ker,,,
Le Grand Zombie,Creature Catalogue,,Medium,Undead,,Zombie,Le Grand Zombi,,
"Lesser Wyrd, Wood Elf Ranger",Creature Catalogue,,Medium,Undead,Augmented Humanoid (Elf),Wyrd,Lesser,,
Malice,Creature Catalogue,,Tiny,Undead,Incorporeal,Gray Philosopher,Malice,,
Memento Mori,Creature Catalogue,,Medium,Undead,Incorporeal,Memento Mori,,,
"Mist, Scarlet Dancer",Creature Catalogue,,Fine,Undead,"Incorporeal, Swarm",Scarlet Dancer Mist,,,
Moilian Heart,Creature Catalogue,,Diminutive,Undead,,Moilian Heart,,,
Necromantic Battering Ram,Creature Catalogue,,Gargantuan,Undead,,Necromantic Battering Ram,,,
"Parrot, Undead",Creature Catalogue,,Tiny,Undead,,Undead Parrot,,,
Pearl Eyes,Creature Catalogue,,Medium,Undead,Augmented Humanoid,Skeleton,Gem Eyes,Pearl Eyes,
Phantom Spider,Creature Catalogue,,Medium,Undead,,Spider,Wraith,Phantom,
Rapper,Creature Catalogue,,Medium,Undead,Dwarf,Rapper,,,
Revenant-Magna,Creature Catalogue,,Medium,Undead,,Revenant-Magna,,,
Reviler,Creature Catalogue,,Medium,Undead,Incorporeal,Reviler,,,
Ruby Eyes,Creature Catalogue,,Medium,Undead,Augmented Humanoid,Skeleton,Gem Eyes,Ruby Eyes,
Scavenger Spirit,Creature Catalogue,,Medium,Undead,Incorporeal,Scavenger Spirit,,,
Scorched One,Creature Catalogue,,Medium,Undead,Fire,Scorched One,,,
Scryxull,Creature Catalogue,,Large,Undead,,Scryxull,,,
Semilich Human Wizard,Creature Catalogue,,Diminutive,Undead,Augmented Humanoid,Lich,Semilich,Human Wizard,
"Shadow, Ether",Creature Catalogue,,Medium,Undead,Incorporeal,Shadow,Ether,,
Skelter,Creature Catalogue,,Medium,Undead,Augmented Humanoid,Skelter,Human,,
Skuz,Creature Catalogue,,Medium,Undead,,Skuz,,,
Sundel Bolong,Creature Catalogue,,Medium,Undead,Incorporeal,Sundel Bolong,,,
Tuyewera,Creature Catalogue,,Medium,Undead,,Tuyewera,,,
"Vampire, Ice",Creature Catalogue,,Medium,Undead,Shapechanger,Vampire,Ice,,
Vampire,Creature Catalogue,,Medium,Undead,,Vampire,Lesser,,
Visage,Creature Catalogue,,Medium,Undead,Extraplanar,Visage,,,
Voracious Human Commoner,Creature Catalogue,,Medium,Undead,Augmented Humanoid,Ravenous,Oerth,Human Commoner,
Voracious Small Viper,Creature Catalogue,,Small,Undead,Augmented Animal,Ravenous,Oerth,Small Viper,
Web-Spectre Elven Wizard,Creature Catalogue,,Medium,Undead,Augmented Humanoid,Web-Spectre,Elven Wizard,,
"Wight, Wailing",Creature Catalogue,,Medium,Undead,,Wight,Wailing,,
Wraith-Spider,Creature Catalogue,,Medium,Undead,,Spider,Wraith,,
"Zombie, Bloodstone",Creature Catalogue,,Medium,Undead,,Zombie,Bloodstone,,
Zombire,Creature Catalogue,,Medium,Undead,Augmented Humanoid,Zombire,Human,,
Blackskull,Creature Codex,,Medium,Undead,Extraplanar,Blackskull,,,
Umbrood Swarm,Creature Codex,,Tiny,Undead,"Extraplanar, Incorporeal, Swarm",Umbrood,Swarm,,
Eaten One,Dangerous Denizens: The Monsters of Tellene,,Medium,Undead,,Eaten One,,,
Hound of Ill-Omen,Dangerous Denizens: The Monsters of Tellene,,Medium,Undead,Incorporeal,Hound of Ill-Omen,,,
"Mummy, Blood (Hijarjany)",Dangerous Denizens: The Monsters of Tellene,,Medium,Undead,,Mummy,Blood,,
"Mummy, Heretic (Ghoskinjany)",Dangerous Denizens: The Monsters of Tellene,,Medium,Undead,,Mummy,Heretic,,
"Mummy, Noble (Shojarijany)",Dangerous Denizens: The Monsters of Tellene,,Medium,Undead,,Mummy,Noble,,
"Mummy, Rattlebone (Thinchejany)",Dangerous Denizens: The Monsters of Tellene,,Medium,Undead,,Mummy,Rattlebone,,
"Mummy, Royal (Shijarinjany)",Dangerous Denizens: The Monsters of Tellene,,Medium,Undead,,Mummy,Royal,,
"Mummy, Servitor (Jhurijany)",Dangerous Denizens: The Monsters of Tellene,,Medium,Undead,,Mummy,Servitor,,
Poltergeist,Dangerous Denizens: The Monsters of Tellene,,Small,Undead,Incorporeal,Poltergeist,,,
Sheet Phantom,Dangerous Denizens: The Monsters of Tellene,,Medium,Undead,,Sheet Phantom,,,
"Swordwraith, Skarrnid",Dangerous Denizens: The Monsters of Tellene,,Medium,Undead,,Wraith,Sword,Skarrnid,
"Treant, Undead",Dangerous Denizens: The Monsters of Tellene,,Huge,Undead,,Treant,Undead,Tellenian,
Arayashka (Snow Wraith),Denizens of Dread,,Medium,Undead,"Cold, Incorporeal",Arayashka,,,
Bastellus (Dream Stalker),Denizens of Dread,,Medium,Undead,Incorporeal,Bastellus,,,
Boneless Human,Denizens of Dread,,Medium,Undead,,Boneless,Human,,
Bowlyn,Denizens of Dread,,Medium,Undead,Incorporeal,Bowlyn,,,
Bussengeist,Denizens of Dread,,,Undead,,Bussengeist,,,
Carcass Hound,Denizens of Dread,,Medium,Undead,,Carcass Hound,,,
"Cloaker, Undead",Denizens of Dread,,Large,Undead,,Cloaker,Undead,,
Colossal Animator,Denizens of Dread,,Colossal,Undead,,Animator,Colossal,,
Common Wight,Denizens of Dread,,Medium,Undead,,Wight,Dread,Common,
Corpse Candle,Denizens of Dread,,Medium,Undead,Incorporeal,Corpse Candle,,,
Crimson Bones,Denizens of Dread,,Medium,Undead,,Crimson Bones,,,
Dwarven Vampire,Denizens of Dread,,Medium,Undead,"Augmented Humanoid, Vampire",Vampire,Dwarven,,
"Elemental Lich, Human",Denizens of Dread,,Medium,Undead,Augmented Humanoid,Lich,Elemental,Human,
Elven Vampire,Denizens of Dread,,Medium,Undead,"Augmented Humanoid, Vampire",Vampire,Elven,,
Fog Cadaver,Denizens of Dread,,Medium,Undead,,Zombie Fog,Cadaver,,
Gargantuan Animator,Denizens of Dread,,Gargantuan,Undead,,Animator,Gargantuan,,
"Ghost, Rank Five",Denizens of Dread,,Medium,Undead,"Augmented Humanoid, Incorporeal",Ghost,Human,,
"Ghost, Rank Four",Denizens of Dread,,Medium,Undead,"Augmented Humanoid, Incorporeal",Ghost,Human,,
"Ghost, Rank One",Denizens of Dread,,Medium,Undead,"Augmented Humanoid, Incorporeal",Ghost,Human,,
"Ghost, Rank Three",Denizens of Dread,,Medium,Undead,"Augmented Humanoid, Incorporeal",Ghost,Half-Elf,,
"Ghost, Rank Two",Denizens of Dread,,Medium,Undead,"Augmented Humanoid, Incorporeal",Ghost,Dwarf,,
Gnomish Vampire,Denizens of Dread,,Small,Undead,"Augmented Humanoid, Vampire",Vampire,Gnomish,,
Greater Wight,Denizens of Dread,,Large,Undead,,Wight,Dread,Greater,
Halfling Vampire,Denizens of Dread,,Small,Undead,"Augmented Humanoid, Vampire",Vampire,Halfling,,
Huge Animator,Denizens of Dread,,Huge,Undead,,Animator,Huge,,
Human Chiang-Shi,Denizens of Dread,,Medium,Undead,"Augmented Humanoid, Vampire",Vampire,Chiang-shi,Human,
Human Geist,Denizens of Dread,,Medium,Undead,"Augmented Humanoid, Incorporeal",Geist,Human,,
Human Ghoul Lord,Denizens of Dread,,Medium,Undead,Augmented Humanoid,Ghoul Lord,Human,,
Human Lebentod,Denizens of Dread,,Medium,Undead,Augmented Humanoid,Lebendtod,Human,,
Human Mist Horror,Denizens of Dread,,Medium,Undead,"Augmented Humanoid, Incorporeal, Mists",Mist Horror,Human,,
Human Nosferatu,Denizens of Dread,,Medium,Undead,"Augmented Humanoid, Vampire",Vampire,Nosferatu,Dread,Human
Human Vrykolaka,Denizens of Dread,,Medium,Undead,"Augmented Humanoid, Vampire",Vampire,Vrykolaka,Dread,Human
Human Zombie Lord,Denizens of Dread,,Medium,Undead,,Zombie Lord,Human,,
Jolly Roger,Denizens of Dread,,Medium,Undead,,Jolly Roger,,,
Large Animator,Denizens of Dread,,Large,Undead,,Animator,Large,,
Medium Animator,Denizens of Dread,,Medium,Undead,,Animator,Medium,,
Mist Ferryman,Denizens of Dread,,Medium,Undead,Mists,Mist Ferryman,,,
Odem,Denizens of Dread,,Small,Undead,Incorporeal,Odem,,,
Phantom Hound,Denizens of Dread,,Medium,Undead,,Phantom Hound,,,
"Plant, Dread, Undead Treant",Denizens of Dread,,Huge,Undead,,Treant,Undead,Dread,
Pyroskeleton,Denizens of Dread,,Large,Undead,,Skeleton,Pyroskeleton,,
Radiant Spirit,Denizens of Dread,,Medium,Undead,Incorporeal,Radiant Spirit,,,
"Remnant, Aquatic",Denizens of Dread,,Medium,Undead,"Aquatic, Incorporeal",Remnant,Aquatic,,
Rushlight,Denizens of Dread,,Small,Undead,"Fire, Incorporeal",Rushlight,,,
Skeletal Bat,Denizens of Dread,,Medium,Undead,,Skeleton,Skeletal,Bat,
Small Animator,Denizens of Dread,,Small,Undead,,Animator,Small,,
Spectral Annis,Denizens of Dread,,Medium,Undead,"Augmented Monstrous Humanoid, Incorporeal",Hag,Spectral,Annis,
Spectral Green Hag,Denizens of Dread,,Medium,Undead,"Augmented Monstrous Humanoid, Incorporeal",Hag,Spectral,Green Hag,
Spectral Sea Hag,Denizens of Dread,,Medium,Undead,"Augmented Monstrous Humanoid, Incorporeal",Hag,Spectral,Sea Hag,
Spirit Waif,Denizens of Dread,,Small,Undead,Incorporeal,Spirit Waif,,,
Strahd Skeleton,Denizens of Dread,,Medium,Undead,,Skeleton,Strahd,,
Strahd's Skeletal Steed,Denizens of Dread,,Large,Undead,,Skeleton,Strahd's Skeletal Steed,,
Tiny Animator,Denizens of Dread,,Tiny,Undead,,Animator,Tiny,,
Valpurleiche (Hanged Man),Denizens of Dread,,Medium,Undead,,Valpurleiche,,,
Zombie Fog,Denizens of Dread,,Colossal,Undead,,Zombie Fog,,,
"Zombie, Cannibal",Denizens of Dread,,Medium,Undead,,Zombie,Cannibal,,
"Zombie, Desert",Denizens of Dread,,Medium,Undead,,Zombie,Desert,,
"Zombie, Mud",Denizens of Dread,,Medium,Undead,,Zombie,Mud,,
"Zombie, Sea",Denizens of Dread,,Medium,Undead,,Zombie,Sea,Dread,
"Zombie, Strahd",Denizens of Dread,,Medium,Undead,,Zombie,Strahd,,
Darklight,Denizens of the Inner Planes,,Medium,Undead,"Extraplanar, Incorporeal",Darklight,,,
"Shadow, Grand",Denizens of the Inner Planes,,Large,Undead,"Extraplanar, Incorporeal",Shadow,Grand,,
Spectral Death,Denizens of the Inner Planes,,Medium,Undead,Extraplanar,Spectral Death,,,
Vacuous,Denizens of the Inner Planes,,Medium,Undead,Extraplanar,Vacuous,,,
Apparition,Denizens of the Transitive Planes,,Medium,Undead,"Extraplanar, Incorporeal",Apparition,,,
"Memedi, Common",Denizens of the Transitive Planes,,Medium,Undead,,Memedi,Common,,
"Memedi, Gendruwo",Denizens of the Transitive Planes,,Medium,Undead,Extraplanar,Memedi,Gendruwo,,
Ur-Histachii Rogue,Draconic Hybrids and Other Reptilian Monstrousities,,Medium,Undead,"Augmented Humanoid, Reptilian",Ur-Histachii,Rogue,,
Ur-Histachii Warrior,Draconic Hybrids and Other Reptilian Monstrousities,,Medium,Undead,"Augmented Humanoid, Reptilian",Ur-Histachii,Warrior,,
Blue Dracolich,Draconomicon: The Book of Dragons,,Gargantuan,Undead,,Dracolich,Ancient Blue,,
Ghostly Green Dragon,Draconomicon: The Book of Dragons,,Huge,Undead,Incorporeal,Ghostly Dragon,Green Dragon,,
Skeletal Black Dragon,Draconomicon: The Book of Dragons,,Huge,Undead,,Skeleton,Skeletal, Black Dragon,
Vampiric Red Dragon,Draconomicon: The Book of Dragons,,Huge,Undead,,Vampiric Dragon, Red,,
Zombie White Dragon,Draconomicon: The Book of Dragons,,Large,Undead,,Zombie, White Dragon,,
Crawling Slaughter,Dragon #309,,Gargantuan,Undead,,Crawling Slaughter,,,
Fleshvigor Ghoul,Dragon #315,,Medium,Undead,,Ghoul,Fleshvigor,,
Eldritch Archer,Dragon #317,,Medium,Undead,,Eldritch Archer,,,
Nether Hound Ghast,Dragon #322,,Medium,Undead,,Ghoul,Ghast,Nether Hound,
Icy Prisoner,Dragon #324,,Medium,Undead,Cold,Icy Prisoner,,,
Steaming Soldier,Dragon #324,,Medium,Undead,Cold,Steaming Soldier,,,
Humbaba,Dragon #334,,Large,Undead,,Humbaba,,,
Mastiff of Kyuss,Dragon #336,,Medium,Undead,,Spawn of Kyuss,Favoured,Mastiff of Kyuss,
Human Suel Lich,Dragon #339,,Medium,Undead,Augmented Humanoid,Lich,Suel,Human,
Human Cauldron Spawn,Dragon #340,,Medium,Undead,Augmented Humanoid,Cauldron Spawn,Human,,
Elf Living Wall,Dragon #343,,Medium,Undead,,Living Wall,Elf,,
Human Living Wall,Dragon #343,,Medium,Undead,,Living Wall,Human,,
Living Wall Manticore,Dragon #343,,Medium,Undead,,Living Wall,Manticore,,
Elf Sorcerer Terror Vampire,Dragon #348,,Medium,Undead,Augmented Humanoid,Vampire,Terror,Elf,
Human Fighter Shadow Vampire,Dragon #348,,Medium,Undead,Augmented Humanoid,Vampire,Shadow,Human,
Kasian Vampires,Dragon #348,,,Undead,,Vampire,Kasian,,
Ogre Savage Vampire,Dragon #348,,Large,Undead,Augmented Giant,Vampire,Savage,Ogre,
Alchemical Undead,Dragon #350,,Medium,Undead,,Alchemical Undead,,,
Charnel Custodian,Dragon #352,,Huge,Undead,,Charnel Custodian,,,
Dungeon Phantom,Dragon #355,,Medium,Undead,Incorporeal,Dungeon Phantom,,,
Beastwraith,Dragon #357,,Small,Undead,Incorporeal,Beastwraith,,,
Deadwood Revenant,Dragon #357,,Medium,Undead,Incorporeal,Deadwood Revenant,,,
Strahd's Skeletal Steeds,Dragon #359,,Large,Undead,,Skeleton,Strahd's Skeletal Steed,,
Bodak Five-Headed Hydra,"Dragon Compendium, Volume 1",,Huge,Undead,,Bodak,Five-Headed Hydra,,
Bonespitter,"Dragon Compendium, Volume 1",,Medium,Undead,,Bonespitter,,,
Casurua,"Dragon Compendium, Volume 1",,Large,Undead,Incorporeal,Casurua,,,
Ghastly Hill Giant,"Dragon Compendium, Volume 1",,Large,Undead,,Ghastly,Hill Giant,,
Ghoulish Harpy,"Dragon Compendium, Volume 1",,Medium,Undead,,Ghoulish,Harpy,,
"Mummy, Bog","Dragon Compendium, Volume 1",,Medium,Undead,,Mummy,Bog,,
