Name,Source,Size,Type,Subtypes,Environment,CR,Classify 1,Classify 2,Classify 3,Classify 4
Swamp Wurm,Dragon #296,,Dragon,,Temperate and warm marsh,5 to 23,Wurm,Swamp,,
Swamplight Lynx,Monster Manual II,Large,Magical Beast,,Any marsh,7,Lynx,Swamplight,,
Swan,Creature Catalogue,Medium,Animal,,Temperate marsh and aquatic,1/4,Swan,,,
Swanmay,Creature Catalogue,,Template,,Temperate forest and marsh and aquatic,,Swanmay,,,
"Swarm, Black Locust",Diablo II: To Hell and Back,Medium,Vermin,,Temperate and warm land and underground,1,Locust,Black,Swarm,
"Swarm, Hell Swarm",Diablo II: To Hell and Back,Huge,Vermin,,Temperate and warm land and underground,3,Hell Swarm,,,
"Swarm, Itchies",Diablo II: To Hell and Back,Medium,Vermin,,Temperate and warm land and underground,1,Itchies,Swarm,,
"Swarm, Plague Bug",Diablo II: To Hell and Back,Large,Vermin,,Temperate and warm land and underground,2,Plague Bug,Swarm,,
Sword Battleloth,Dragon #306,Small,Outsider,Evil,Any land and underground,3,Yugoloth,Battleloth,Sword,
Sword Spider,Monsters of Faerûn,Large,Vermin,,Warm forest and underground,5,Spider,Sword,,
Swordwraith,Coin's End,Medium,Undead,,,7,Wraith,Sword,Skarrnid,
Swordwraith Human,Living Greyhawk Journal #3,Medium,Undead,,,7,Wraith,Sword,Human,
Syllix,Monsters of the Void,Medium,Humanoid,,Any temperate or tropical land and wildspace,2,Syllix,,,
Sylph,Creature Catalogue,Medium,Fey,Air,Any mountain,7,Sylph,,,
Symbiotic Creature,Savage Species,,Template,,,As mixed pair,Symbiotic,,,
Symbiotic Jelly,Tome of Horrors,,Ooze,,,4,Symbiotic Jelly,,,
T'ien Lung (Celestial Dragon),Oriental Adventures,Huge,Dragon,"Air, Spirit",Warm mountains,15,Dragon,Lung,T'ien Lung,Adult
"T'ien Lung (Celestial Dragon), Ancient",Oriental Adventures,Gargantuan,Dragon,"Air, Spirit",Warm mountains,23,Dragon,Lung,T'ien Lung,Ancient
"T'ien Lung (Celestial Dragon), Great Wyrm",Oriental Adventures,Colossal,Dragon,"Air, Spirit",Warm mountains,26,Dragon,Lung,T'ien Lung,Great Wyrm
"T'ien Lung (Celestial Dragon), Juvenile",Oriental Adventures,Large,Dragon,"Air, Spirit",Warm mountains,10,Dragon,Lung,T'ien Lung,Juvenile
"T'ien Lung (Celestial Dragon),  Adult",Oriental Adventures,Huge,Dragon,"Air, Spirit",Warm mountains,18,Dragon,Lung,T'ien Lung, Adult
"T'ien Lung (Celestial Dragon), Old",Oriental Adventures,Gargantuan,Dragon,"Air, Spirit",Warm mountains,20,Dragon,Lung,T'ien Lung,Old
"T'ien Lung (Celestial Dragon), Very Old",Oriental Adventures,Gargantuan,Dragon,"Air, Spirit",Warm mountains,21,Dragon,Lung,T'ien Lung,Very Old
"T'ien Lung (Celestial Dragon), Wyrm",Oriental Adventures,Colossal,Dragon,"Air, Spirit",Warm mountains,24,Dragon,Lung,T'ien Lung,Wyrm
"T'ien Lung (Celestial Dragon),  Adult",Oriental Adventures,Huge,Dragon,"Air, Spirit",Warm mountains,13,Dragon,Lung,T'ien Lung, Adult
Tabaxi,Creature Catalogue,Medium,Monstrous Humanoid,,Warm forest and plains,2,Tabaxi,,,
Tadaka No Oni,Creatures of Rokugan,Gargantuan,Outsider,"Oni, Evil, Shadowlands","Shadowlands, Jigoku",10,Tadaka No Oni,,,
Taer,Tome of Horrors,Medium,Monstrous Humanoid,Cold,Cold mountains,2,Taer,,,
Tagamaling Buso,Oriental Adventures,Medium,Humanoid,Human,,2,Buso,Tagamaling,,
Tainted,Diablo II: Diablerie,Medium,Magical Beast,,,4,Tainted,,,
"Tainted, Afflicted",Diablo II: Diablerie,Medium,Magical Beast,,,6,Tainted,Afflicted,,
"Tainted, Damned",Diablo II: Diablerie,Medium,Magical Beast,,,9,Tainted,Damned,,
"Tainted, Disfigured",Diablo II: Diablerie,Medium,Magical Beast,,,3,Tainted,Disfigured,,
"Tainted, Misshapen",Diablo II: Diablerie,Medium,Magical Beast,,,1,Tainted,Misshapen,,
Takesasu,Creatures of Rokugan,Small,Plant,Shadowlands,Shadowlands,2,Takesasu,,,
Tako,Oriental Adventures,Medium,Aberration,Aquatic,Temperate and warm aquatic,2,Tako,,,
Tall Mouther,Monsters of Faerûn,Large,Aberration,,"Forest, hills, mountains, and underground",5,Tall Mouther,,,
Tallfellow,Monster Manual,Small,Humanoid,Halfling,Any land and underground,,Halfling,Tallfellow,,
Tanngrisnir and Tanngjost,Deities and Demigods,Large,Animal,,,6,Goat,Legendary,Tanngrisnir and Tanngjost,
Tanuki,Creatures of Rokugan,Medium,Fey,Spirit,Any land,1,Tanuki,,,
Tarrasque,Monster Manual,Colossal,Magical Beast,,Any land,20,Abomination,Tarrasque,,
Tarterian Dragon,Dragon #300,Huge,Dragon,Extraplanar,Any land and underground (Carceri),15,Dragon,Planar,Tarterian,Adult
"Tarterian Dragon, Ancient",Dragon #300,Gargantuan,Dragon,Extraplanar,Any land and underground (Carceri),22,Dragon,Planar,Tarterian,Ancient
"Tarterian Dragon, Great Wyrm",Dragon #300,Colossal,Dragon,Extraplanar,Any land and underground (Carceri),25,Dragon,Planar,Tarterian,Great Wyrm
"Tarterian Dragon, Juvenile",Dragon #300,Large,Dragon,Extraplanar,Any land and underground (Carceri),11,Dragon,Planar,Tarterian,Juvenile
"Tarterian Dragon,  Adult",Dragon #300,Huge,Dragon,Extraplanar,Any land and underground (Carceri),17,Dragon,Planar,Tarterian, Adult
"Tarterian Dragon, Old",Dragon #300,Gargantuan,Dragon,Extraplanar,Any land and underground (Carceri),19,Dragon,Planar,Tarterian,Old
"Tarterian Dragon, Very Old",Dragon #300,Gargantuan,Dragon,Extraplanar,Any land and underground (Carceri),20,Dragon,Planar,Tarterian,Very Old
"Tarterian Dragon, Very ",Dragon #300,Large,Dragon,Extraplanar,Any land and underground (Carceri),7,Dragon,Planar,Tarterian,Very 
"Tarterian Dragon, Wyrm",Dragon #300,Colossal,Dragon,Extraplanar,Any land and underground (Carceri),23,Dragon,Planar,Tarterian,Wyrm
"Tarterian Dragon, Wyrmling",Dragon #300,Medium,Dragon,Extraplanar,Any land and underground (Carceri),5,Dragon,Planar,Tarterian,Wyrmling
"Tarterian Dragon, ",Dragon #300,Large,Dragon,Extraplanar,Any land and underground (Carceri),9,Dragon,Planar,Tarterian,
"Tarterian Dragon,  Adult",Dragon #300,Huge,Dragon,Extraplanar,Any land and underground (Carceri),13,Dragon,Planar,Tarterian, Adult
Tasked Guardian Genie,Inzeladun Third Edition: Al Qadim Monsters,Large,Outsider,,Any land,8,Genie,Tasked,Guardian,
Tasked Slayer Genie,Inzeladun Third Edition: Al Qadim Monsters,Large,Outsider,,Any land,8,Genie,Tasked,Slayer,
Tasloi,Creature Catalogue,Small,Humanoid,Tasloi,Warm forest,1/2,Tasloi,,,
Tauric,Monster Manual II,,Template,,,1,Tauric,Hobgoblin,Griffon,
Tauric Creature,Savage Species,,Template,,,1,Tauric,,,
Tauric Hobgoblin-Griffon,Monster Manual II,Large,Monstrous Humanoid,,Temperate and warm hills and mountains,5,Tauric,,,
Tauthar,Polyhedron #145,Large,Monstrous Humanoid,,Mountains,4,Tauthar,,,
Tayellah,Epic Level Handbook,Gargantuan,Magical Beast,,Any temperate or cold land,24,Tayellah,,,
Teg,Denizens of Darkness,Medium,Fey,,"Temperate forest, hill or plains (Shadow Rift)",3,Elf,Arak,Teg,
Tegkin,Denizens of Darkness,Medium,Construct,,Shadow Rift,0 or 1,Changeling,Dread,Tegkin,
Telthor,Unapproachable East,Medium,Template,,Cold forest and hills,1,Telthor,,,
Telthor Wolf,Unapproachable East,Medium,Fey,Incorporeal,Cold forest and hills,2,Telthor,Wolf,,
Tempest,Monster Manual II,Gargantuan,Elemental,"Air, Earth, Fire, Water",Any land,16,Tempest,,,
Temporal Filcher,Psionics Handbook,Large,Aberration,,Any land and underground,3,Temporal Filcher,,,
Ten-Headed Hydra,Monster Manual,Huge,Beast,,Any marsh and underground,9,Hydra,Ten-Headed,,
Tendriculous,Monster Manual,Huge,Plant,,"Temperate and warm forests, hill, and marsh",6,Tendriculous,,,
Tenebris,Denizens of Darkness,Medium,Outsider,"Evil, Incorporeal",Any land and underground,9,Tenebris,,,
Tenebrous Worm,Creature Catalogue,Medium,Outsider,,Any land and underground,8,Tenebrous Worm,,,
"Tengu, Crow-Headed",Oriental Adventures,Medium,Monstrous Humanoid,,Any land,1,Tengu,Crow-Headed,,
"Tengu, Human-Headed",Oriental Adventures,Small,Monstrous Humanoid,,Any land,6,Tengu,Human-Headed,,
Tentacle Rat,Denizens of Darkness,Small,Aberration,,Underground (Markovia),1,Tentacle Rat,,,
Tentacled Horror (Zargon),Creature Catalogue,Huge,Aberration,,Underground,8,Zargon,,,
Tentamort,Creature Catalogue,Small,Aberration,,Any marsh and underground,4,Tentamort,,,
Teratamorph,Dragon #287,Gargantuan,Ooze,,Any land or underground,16,Teratamorph,,,
Teratomorph,Monster Manual II,Gargantuan,Ooze,,Any aquatic and underground,16,Teratomorph,,,
Terithran,Creature Catalogue,Small,Outsider,,Any land and underground,4,Terithran,,,
Terlen,Fiend Folio,Medium,Magical Beast,Extraplanar,"Any land and aquatic (Carceri, Gehenna, Hades)",2,Terlen,,,
Terror Bird,Fiend Folio,Large,Animal,,"Any forest, hill, or plains",4,Terror Bird,,,
Tertian (Heirarch Modron),Modrons (A Manual of the Planes Web Enhancement,Large,Outsider,,Any land,16,Modron,Tertian,,
The Ecology of the Darkmantle,Dragon #275,,,,,,Darkmantle,,,
The Ecology of the Purple Worm,Dragon #282,,,,,,Purple Worm,,,
"The Hag Countess, Lord of the Sixth",Book of Vile Darkness,Medium,Outsider,"Evil, Lawful",Any land and underground,22,Devil,Archdevil,Hag Countess,
The Jersey Devil,Polyhedron #148,Large,Outsider,,Any forest or marsh,3,Jersey Devil,,,
The Sphinx,Dragon #297,Colossal,Construct,,Warm desert,100,Golem,Epic,The Sphinx,
Thessalgorgon,Tome of Horrors,Huge,Aberration,,"Temperate and warm land, and underground",12,Thessalgorgon,,,
Thessalhydra,Tome of Horrors,Gargantuan,Aberration,,Any marsh and underground,11,Thessalhydra,,,
Thessalmonster,Tome of Horrors,,Template,,,4,Thessalmonster,,,
Thing in the Crypt,Forging Darkness,Medium,,,,8,Thing in the Crypt,,,
Thomil,Unapproachable East,,Template,,Cold mountains,2,Thomil,,,
"Thomil, Medium Earth Elemental",Unapproachable East,Medium,Elemental,"Earth, Native",Cold mountains,4,Elemental,Earth,Thomil,Medium
Thoqqua,Monster Manual,Medium,Elemental,"Earth, Fire",Any underground,2,Thoqqua,,,
Thorciasid,Dragon #296,Medium,Aberration,,Any,22,Thorciasid,,,
Thork,Creature Catalogue,Large,Magical Beast,,Temperate and warm marsh and aquatic,2,Thork,,,
Thorned Hulk,Diablo II: To Hell and Back,Large,Giant,,Any jungle,4,Thorned Hulk,,,
"Thorned Hulk, Bramble Hulk",Diablo II: To Hell and Back,Large,Giant,,Any jungle,6,Thorned Hulk,Bramble Hulk,,
"Thorned Hulk, Spike Fist",Diablo II: To Hell and Back,Huge,Giant,,Any jungle,9,Thorned Hulk,Spike Fist,,
"Thorned Hulk, Thrasher",Diablo II: To Hell and Back,Huge,Giant,,Any jungle,8,Thorned Hulk,Thrasher,,
Thornslinger,Creature Catalogue,Large,Plant,,Any land,2,Thornslinger,,,
Thorny,Creature Catalogue,Medium,Plant,,Warm forest and underground,2,Thorny,,,
Thought Eater,Psionics Handbook,Small,Aberration,,Any land and underground,2,Thought Eater,,,
Thoul,Creature Catalogue,Medium,Monstrous Humanoid,,Any land and underground,2,Thoul,,,
Three-Headed Sirrush,Epic Level Handbook,Large,Magical Beast,,Any,28,Sirrush,Three-Headed,,
Thri-Kreen,Monster Manual II,Medium,Monstrous Humanoid,,Temperate or warm desert,1,Thri-Kreen,,,
Thri-Kreen (Mantis Warrior),Creature Catalogue,Large,Monstrous Humanoid,,Any warm land and underground,5,Thri-Kreen,,,
Throat Leech,Tome of Horrors,,Vermin,,,4,Leech,Throat,,
Throne Guardian,Seelie and Unseelie Courts,Huge,Construct,,Any land,15,Throne Guardian,,,
Thrush Familiar,Tome and Blood,Diminutive,Magical Beast,,,,Thrush,Familiar,,
Thudhunter,Arms and Equipment Guide,Medium,Beast,,Any temperate and warm land,2,Thudhunter,,,
Thunder Beast,Tome of Horrors,Huge,Outsider,,Any land,4,Thunder Beast,,,
Thunder Wolf,Dragon #293,Large,Magical Beast,Electricity,Temperate and warm land,7,Wolf,Thunder,,
Thunder Worm,Dungeon #93,Colossal,Magical Beast,Incorporeal,Temperate land,21,Thunder Worm,,,
Thunderbeast,Creature Catalogue,Huge,Outsider,,Any land,4,Thunder Beast,,,
Thunderbird,Polyhedron #148,Huge,Magical Beast,,Any hill or mountain,11,Thunderbird,Gothic Earth,,
Thylacine,Creature Catalogue,Large,Magical Beast,,"Any mountains, hills, and forests",5,Thylacine,,,
Ti-Khana,Fiend Folio,,Template,,Warm forest and underground,2,Ti-Khana,,,
Ti-Khana Deinonychus,Fiend Folio,Large,Magical Beast,,Warm forest and underground,5,Ti-Khana,Deinonychus,,
Tiamat,Dragon #272,Colossal,Dragon,,Any land and underground,25,Dragon,Chromatic,Tiamat,
"Tiamat, the Chromatic Dragon",Manual of the Planes,Colossal,Dragon,,,25,Dragon,Chromatic,Tiamat,
"Tick, Giant",Tome of Horrors,Small,Vermin,,"Temperate and warm land, and underground",1,Tick,Giant,,
Tickler,Creature Catalogue,Fine,Aberration,,Any land and underground,1/10,Tickler,,,
Tiefling,Forgotten Realms Campaign Setting,Medium,Outsider,Native,,,Tiefling,,,
Tiefling Fighter,Battle Sheets!,Medium,Outsider,"Chaotic, Evil",,3,Tiefling,Fighter,,
Tiger,Monster Manual,Large,Animal,,"Any forest, hill, mountains, and plains",4,Tiger,,,
"Tiger Fly, Female",Creature Catalogue,Medium,Vermin,,Any land,2,Tiger Fly,Female,,
"Tiger Fly, Larva",Creature Catalogue,Small,Vermin,,Any land,1/2,Tiger Fly,Larva,,
"Tiger Fly, Male",Creature Catalogue,Medium,Vermin,,Any land,3,Tiger Fly,Male,,
"Tiger, Snow","Bestiary of the Realms, Volume 1",,Animal,,,,Tiger,Snow,,
Time Wight,Time Wight,Medium,Undead,,Any land and underground,4,Wight,Time,,
Tiny Animated Shrub,Garden of the Plantmaster,Tiny,Plant,,Any land,1/4,Animated Shrub,Tiny,,
Tiny Animator,Denizens of Darkness,Tiny,Undead,,,2,Animator,Tiny,,
Tiny Skeleton,Monster Manual,Tiny,Undead,,Any land and underground,1/6,Skeleton,Tiny,,
Tiny Zombie,Monster Manual,Tiny,Undead,,Any land and underground,1/6,Zombie,Tiny,,
Tirapheg,Creature Catalogue,Medium,Aberration,,Any mountains and marsh,1,Tirapheg,,,
Tirichik,Creature Catalogue,Huge,Beast,Cold,Any cold land and underground,12,Tirichik,,,
Titan,Monster Manual,Huge,Outsider,"Chaotic, Good",Any land and underground,21,Titan,,,
"Titan, Elder",Epic Level Handbook,Colossal,Outsider,,Any,30,Titan,Elder,,
Titanic,Monster Manual II,Gargantuan,Template,,,13 or 13,Titanic,,,
Titanic Toad,Monster Manual II,Gargantuan,Animal,,Temperate and warm land and aquatic,13,Toad,Titanic,,
Tlalusk,Far Corners of the World: Monsters of the Frozen Land,Huge,Magical Beast,Cold,Arctic hills and plains,12,Tlalusk,,,
Toad,Monster Manual,Diminutive,Animal,,Temperate and warm land and aquatic,1/10,Toad,,,
Toad Familiar,Tome and Blood,Diminutive,Magical Beast,,,,Toad,Familiar,,
Toben Zombie,Van Richten's Guide to the Walking Dead,,Template,,Any land,1,Zombie,Toben,,
Tod,Monster Mayhem - Golems 201 - Part Five: Tod,Huge,Construct,,Any land,17,Golem,Iron,Tod,
Tomb Tapper,Monsters of Faerûn,Huge,Construct,,Underground,14,Tomb Tapper,,,
Topaz Dragon,Monster Manual II,Huge,Dragon,Water,"Inner Planes, any aquatic",14,Dragon,Gem,Topaz,Adult
"Topaz Dragon, Ancient",Monster Manual II,Gargantuan,Dragon,Water,"Inner Planes, any aquatic",22,Dragon,Gem,Topaz,Ancient
"Topaz Dragon, Great Wyrm",Monster Manual II,Colossal,Dragon,Water,"Inner Planes, any aquatic",25,Dragon,Gem,Topaz,Great Wyrm
"Topaz Dragon, Juvenile",Monster Manual II,Large,Dragon,Water,"Inner Planes, any aquatic",9,Dragon,Gem,Topaz,Juvenile
"Topaz Dragon,  Adult",Monster Manual II,Huge,Dragon,Water,"Inner Planes, any aquatic",17,Dragon,Gem,Topaz, Adult
"Topaz Dragon, Old",Monster Manual II,Huge,Dragon,Water,"Inner Planes, any aquatic",19,Dragon,Gem,Topaz,Old
"Topaz Dragon, Very Old",Monster Manual II,Huge,Dragon,Water,"Inner Planes, any aquatic",20,Dragon,Gem,Topaz,Very Old
"Topaz Dragon, Very ",Monster Manual II,Medium,Dragon,Water,"Inner Planes, any aquatic",4,Dragon,Gem,Topaz,Very 
"Topaz Dragon, Wyrm",Monster Manual II,Gargantuan,Dragon,Water,"Inner Planes, any aquatic",23,Dragon,Gem,Topaz,Wyrm
"Topaz Dragon, Wyrmling",Monster Manual II,Small,Dragon,Water,"Inner Planes, any aquatic",3,Dragon,Gem,Topaz,Wyrmling
"Topaz Dragon, ",Monster Manual II,Medium,Dragon,Water,"Inner Planes, any aquatic",6,Dragon,Gem,Topaz,
"Topaz Dragon,  Adult",Monster Manual II,Large,Dragon,Water,"Inner Planes, any aquatic",12,Dragon,Gem,Topaz, Adult
Toshigoku Spirit,Creatures of Rokugan,Medium,Undead,"Incorporeal, Spirit",Toshigoku,5,Toshigoku Spirit,,,
Totentanz Skeleton Man,Dungeon #90,Medium,Undead,,,1/3,Skeleton,Totentanz,,
Trachodon,Vaults of Pandius,Huge,Beast,,"Prehistoric jungle, prehistoric forest, prehistoric swamp",5,Dinosaur,Anatotitan,,
Tralusk,Dragon #285,Large,Aberration,Earth,Any underground (Underdark),7,Tralusk,,,
Transposer,Creature Catalogue,Medium,Shapechanger,,Any land and underground,5,Transposer,,,
Trap Haunt,Dragon #307,,Template,Incorporeal,Any,2,Trap Haunt,,,
Trapper,Creature Catalogue,Huge,Aberration,,Any underground,7,Trapper,,,
Treant,Monster Manual,Huge,Plant,,Any forest,8,Treant,,,
"Treant, Elder",Epic Level Handbook,Colossal,Plant,,Any forest,25,Treant,Elder,,
Tree of Wailing Souls,Mintiper's Chapbook: Part 2: The Tree of Wailing Souls,,,,,,Tree of Wailing Souls,,,
Tree Troll,Dragon #299,Small,Monstrous Humanoid,,Temperate forest,2,Troll,Tree,,
Treeleg Strangler,Dragon #280,Huge,Aberration,,Warm marsh,8,Treeleg Strangler,,,
Tren,Creature Catalogue,Medium,Humanoid,"Aquatic, Reptilian",Any underground,1,Tren,,,
Tresper,Garden of the Plantmaster,Small,Outsider,Good,Any forest,4,Tresper,,,
Tressym,Forgotten Realms Campaign Setting,Tiny,Animal,,Any temperate or warm land,,Cat,Tressym,,
Tri-Flower Frond,Creature Catalogue,Medium,Plant,,Warm forest,2,Tri-Flower Frond,,,
Triceratops,Monster Manual,Huge,Beast,,"Warm forests, hill, and plains",7,Dinosaur,Triceratops,,
Tridrone (Base Modron),Modrons (A Manual of the Planes Web Enhancement,Medium,Outsider,,Any land,2,Modron,Tridrone,,
Trilligarg,Dragon #284,Medium,Dragon,,Warm and temperate forest,5,Drake,Greater,Trilligarg,
Trilling Crysmal,Creature Catalogue,Medium,Elemental,Earth,Any land and underground,10,Crysmal,Trilling,,
Trilloch,Creature Catalogue,,Outsider,,,4,Trilloch,,,
Triton,Monster Manual,Medium,Outsider,Water,Any aquatic,4,Triton,,,
Troglodyte,Monster Manual,Medium,Humanoid,Reptilian,Any mountains and underground,1,Troglodyte,,,
Troglodyte Warrior,Battle Sheets!,Medium,Humanoid,Reptilian,,2,Troglodyte,Warrior,,
Troglodyte Wight,Dragon #300,Medium,Undead,,Any,3,Wight,Troglodyte,,
Troll,Monster Manual,Large,Giant,,"Any land, aquatic, and underground",5,Troll,,,
"Troll, Desert",Creature Catalogue,Large,Giant,,Any desert,8,Troll,Desert,,
"Troll, Dread",Denizens of Darkness,Large,Giant,,Any land,6,Troll,Dread,,
"Troll, Giant",Creature Catalogue,Large,Giant,,Any land and underground,9,Troll,Giant,,
"Troll, Ice",Creature Catalogue,Large,Giant,Cold,Any cold land,2,Troll,Ice,,
"Troll, Rokugan",Creatures of Rokugan,Large,Giant,"Aquatic, Shadowlands",Shadowlands,7,Troll,Rokugan,,
"Troll, Spectral",Creature Catalogue,Large,Undead,Incorporeal,Any land and underground,7,Troll,Spectral,,
"Troll, Spirit",Creature Catalogue,Large,Giant,Air,Any land and underground,7,Troll,Spirit,,
"Troll, Two-headed",Creature Catalogue,Large,Giant,,Any land and underground,6,Troll,Fell,,
Troll: Ice Troll,Tome of Horrors,Large,Giant,Cold,Any cold land,3,Troll,Ice,,
Troll: Two-Headed Troll,Tome of Horrors,Large,Giant,,Any land and underground,6,Troll,Fell,,
Trumpet Archon,Monster Manual,Medium,Outsider,"Good, Lawful",Any land and underground,14,Archon,Trumpet,,
Trumpet Archon (Celestial),Savage Species,Medium,Outsider,"Good, Lawful",,,Archon,Trumpet,,
Trygrideam,Mahasarpa Campaign (A Campaign Option Web Enhancement for Oriental Adventures,,,,,,Vaati,Trygrideam,,
Tsuburu no Oni,Oriental Adventures,Huge,Outsider,"Evil, Shadowlands",Shadowlands,16,Oni,Shadowlands,Tsuburu no Oni,
Tsuchimon,Creatures of Rokugan,Large,Aberration,,Any subterranean,6,Tsuchimon,,,
"Tsumunagi, The Blood Eel",Creatures of Rokugan,Tiny,Aberration,Shadowlands,Shadowlands,1/2,Tsumunagi,,,
Tsuno,Oriental Adventures,Large,Monstrous Humanoid,"Shadowlands, Spirit",Shadowlands,6,Tsuno,,,
Tsuno Ravager,Creatures of Rokugan,Large,Monstrous Humanoid,"Shadowlands, Spirit",Shadowlands,9,Tsuno,Ravager,,
Tsuno Soultwister,Creatures of Rokugan,Large,Monstrous Humanoid,"Shadowlands, Spirit",Shadowlands,8,Tsuno,Soultwister,,
Tun Mi Lung (Typhoon Dragon),Oriental Adventures,Huge,Dragon,"Spirit, Water",Warm aquatic,14,Dragon,Lung,Tun Mi Lung,Adult
"Tun Mi Lung (Typhoon Dragon), Ancient",Oriental Adventures,Gargantuan,Dragon,"Spirit, Water",Warm aquatic,22,Dragon,Lung,Tun Mi Lung,Ancient
"Tun Mi Lung (Typhoon Dragon), Great Wyrm",Oriental Adventures,Colossal,Dragon,"Spirit, Water",Warm aquatic,25,Dragon,Lung,Tun Mi Lung,Great Wyrm
"Tun Mi Lung (Typhoon Dragon), Juvenile",Oriental Adventures,Large,Dragon,"Spirit, Water",Warm aquatic,9,Dragon,Lung,Tun Mi Lung,Juvenile
"Tun Mi Lung (Typhoon Dragon),  Adult",Oriental Adventures,Huge,Dragon,"Spirit, Water",Warm aquatic,17,Dragon,Lung,Tun Mi Lung, Adult
"Tun Mi Lung (Typhoon Dragon), Old",Oriental Adventures,Gargantuan,Dragon,"Spirit, Water",Warm aquatic,19,Dragon,Lung,Tun Mi Lung,Old
"Tun Mi Lung (Typhoon Dragon), Very Old",Oriental Adventures,Gargantuan,Dragon,"Spirit, Water",Warm aquatic,20,Dragon,Lung,Tun Mi Lung,Very Old
"Tun Mi Lung (Typhoon Dragon), Wyrm",Oriental Adventures,Gargantuan,Dragon,"Spirit, Water",Warm aquatic,23,Dragon,Lung,Tun Mi Lung,Wyrm
"Tun Mi Lung (Typhoon Dragon),  Adult",Oriental Adventures,Huge,Dragon,"Spirit, Water",Warm aquatic,12,Dragon,Lung,Tun Mi Lung, Adult
Tundra Wurm,Dragon #296,,Dragon,,Cold plains and mountains,5 to 23,Wurm,Tundra,,
Tunnel Terror,Fiend Folio,Huge,Aberration,,Any underground,15,Tunnel Terror,,,
Tunnel Worm,Tome of Horrors,Huge,Beast,,Underground,7,Tunnel Worm,,,
Tupan,Book of Shadows,Medium,Fey,Air,Warm mountains,5,Tupan,,,
"Turtle, Giant Snapping",Creature Catalogue,Gargantuan,Beast,,Any aquatic,9,Turtle,Snapping,Giant,
Tween,Creature Catalogue,Small,Outsider,Incorporeal,Any land and underground,1,Tween,,,
Twelve-Headed Hydra,Monster Manual,Huge,Beast,,Any marsh and underground,11,Hydra,Twelve-Headed,,
Twig Blight,Monster Manual II,Small,Plant,,Any temperate land and underground,1/3,Twig Blight,,,
Twilight Bloom,Creature Catalogue,Large,Plant,,Temperate and warm marsh,2,Twilight Bloom,,,
Two-Headed Griffon,Dungeon #88,,,,,,Griffon,Two-Headed,,
Two-Headed Hellish Guardian Hound,Savage Species,Large,Outsider,"Chaotic, Evil, Fire",Any land or underground,8,Hound,Hell,Two-Headed Hellish Guardian Hound,
Two-Headed Troll,Lost Tomb of Kruk-Ma-Kali,Large,Giant,,Any mountain,8,Troll,Fell,,
Tyrannosaurus,Monster Manual,Huge,Beast,,"Warm forests, hill, plains, and marsh",8,Dinosaur,Tyrannosaurus,,
Ubue,Creature Catalogue,Large,Humanoid,Ubue,Any land and underground,2,Ubue,,,
Ubume,Fortunes & Winds,,Undead,Incorporeal,,,Gaki,Ubume,,
Ubume (Mourning Ghost),Creatures of Rokugan,Medium,Undead,Incorporeal,Any land and underground,4,Ubume,Rokugan,,
Udoroot,Psionics Handbook,Huge,Plant,,Temperate and warm forests and underground,5,Udoroot,,,
Ugulu no Oni,Oriental Adventures,Large,Outsider,"Evil, Shadowlands",Shadowlands,12,Oni,Shadowlands,Ugulu no Oni,
Uk-karg,Strength and Honor: The Mighty Hobgoblins of Tellene,Medium,Humanoid,"Goblinoid, Orc",,,Hobgoblin,Tellenian,Krangi,Uk-karg
Uldra,Creature Catalogue,Small,Humanoid,Uldra,Any cold land and underground,1/2,Uldra,,,
Ulgurstasta,Dragon #276,Gargantuan,Undead,,Any (Wormcrawl Fissue depths),11,Ulgurstasta,,,
Ulitharid (Noble Illithid),Creature Catalogue,Medium,Aberration,,Any underground,10,Mind Flayer,Ulitharid,,
Ultrodaemon (Daemon),Creature Catalogue,Medium,Outsider,Evil,Any land and underground,16,Yugoloth,Ultroloth,,
Ululatrix,Ululatrix,Huge,Dragon,,Any land or underground,11,Ululatrix,,,
Umber Hulk,Monster Manual,Large,Aberration,,Any underground,7,Umber Hulk,,,
Umbral Blot (Blackball),Epic Level Handbook,Medium,Construct,,Any,32,Umbral Blot,,,
Umbral Creature,Savage Species,,Template,Incorporeal,,3,Umbral,,,
Umbral Ettin,Savage Species,Large,Undead,Incorporeal,Any land and underground,8,Umbral,Ettin,,
Umpleby,Creature Catalogue,Medium,Monstrous Humanoid,Electricity,Any land and underground,4,Umpleby,,,
"Undead Beast, Anhkolox",Creature Catalogue,Huge,Undead,,"Any land, aquatic, and underground",7,Ankholian Undead,,,
"Undead Beast, Gholor",Creature Catalogue,Huge,Undead,,"Any land, aquatic, and underground",7,Undead Beast,Gholor,,
"Undead Beast, Stahnk",Creature Catalogue,Huge,Undead,,"Any land, aquatic, and underground",7,Undead Beast,Stahnk,,
"Undead Horror, Abyss Knight",Diablo II: To Hell and Back,Medium,Undead,,Any,9,Undead Horror,Knight,Abyss Knight,
"Undead Horror, Abyss Mage",Diablo II: To Hell and Back,Medium,Undead,,Any,8,Undead Horror,Mage,Abyss Mage,
"Undead Horror, Doom Knight",Diablo II: To Hell and Back,Medium,Undead,,Any,8,Undead Horror,Knight,Doom Knight,
"Undead Horror, Doom Mage",Diablo II: To Hell and Back,Medium,Undead,,Any,7,Undead Horror,Mage,Doom Mage,
